Vivado Simulator 2016.4
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_5 collision detected at time: 5895210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 5920810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 5946410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 5972010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 5997610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6023210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6048810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6074410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6100010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6125610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6151210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6176810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6202410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6228010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6253610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6279210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6304810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6330410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6356010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6381610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6407210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6432810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6458410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6484010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6509610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6535210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6560810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6586410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6612010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6637610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6663210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 6688810000, A write address: 10, B  read address: 10
